alcohol abuse	Alcoholic Intoxication	
	benign neonatal seizures disorder	
	Benign neonatal sleep myoclonus	
focal	benign neoplasm	
focal	benign neoplasm of brain	
focal	benign neoplasms of brain	
focal	benign occipital epilepsy of childhood	
focal	benign rolandic epilepsy	
C4048284	Benzodiazepine	
C0053218	Benzodiazepine antiepileptic	
C0877017	bilateral convulsive seizure	
C0877017	bilateral convulsive seizures	
C4476643	bilateral tonic-clonic seizure with generalized onset	
C0556346	binge Drinking	
brain injury comorbidity	birth asphyxia	
C3665337	birth history was normal	
C0005604	birth injury	
C0005604	birth trauma	
C0411037	Birth trauma, asphyxia and hypoxia	
C3665337	birth was normal	
C0234428	blackout	
C0563606	Blank episode	
C0563606	blank episodes	
C0563606	Blank spell	
C0563606	blank spells	
C2937358	bleeding in brain	
C3665347	blind	
C0346072	blue rubber bleb nevus	
C0346072	blue rubber bleb nevus syndrome	
C0796232	bohring opitz syndrome	
C0796232	bops	
C0006012	borderline personality disorder	
C0233324	born at term	
C0151526	born early	
C3665337	born normally	
C0151526	born prematurely	
C0006105	brain abscess	
C3695127	brain astrocytoma	
C0235946	brain atrophy	
MRI abnormal	brain atrophy	
C0153633	brain cancer	
C0153633	brain cancers	
C0270611	brain damage	
C2937358	brain hemorrhages - cerebral	
C0751955	brain infarct	
C0751955	brain infarction	
C0751955	brain infarctions	
C1264609	brain infection	
C0270611	brain injuries	
C0270611	brain injury	
C1536522	brain injury at birth	
C0007786	brain ischaemia	
C0195961	brain lobectomy	
C0153633	brain malignant neoplasms	
C0496899	brain neopl benign	
C0153633	brain neopl malignant	
C0750979	brain neopl malignant primary	
C0750979	brain neopl primary malignant	
C0496899	brain neoplasm benign	
C0153633	brain neoplasm malignant	
C0496899	brain neoplasm, benign	
C0153633	brain neoplasm, malignant	
C0006118	brain neoplasms	
C0677866	brain stem neopl	
C0677866	brain stem neoplasm	
C0677866	brain stem neoplasms	
C0451671	brain stem stroke syndrome	
C0677866	brain stem tumor	
C0677866	brain stem tumors	
C0195775	brain surgery	
C0270611	brain tissue injury	
C0496899	brain tumor - benign	
C0006118	brain tumour	
comorbidity - brain tumour	brain tumour	
C0496899	brain tumour - benign	
brain surgery	brain tumour operation	
C0038454	brain vascular accident	
C0038454	brain vascular accidents	
C0007820	brain vascular dis	
C0007820	brain vascular disorder	
C0007820	brain vascular disorders	
C0007798	brain ventricular neoplasm	
C0007798	brain ventricular neoplasms	
C0007798	brain ventricular tumor	
C0007798	brain ventricular tumors	
C3698072	brainstem myoclonus	
C0677866	brainstem neoplasm	
C0677866	brainstem neoplasms	
C0451671	brainstem stroke syndrome	
C0677866	brainstem tumor	
C0677866	brainstem tumors	
C0221505	bran lesion	
C4018918	Breath holding attacks	
C0346069	bregeat syndrome	
C0346069	bregeat's syndrome	
C1699861	Brivaracetam	
C4281785	CAE	
cancer comorbidity	cancer	
C0153633	cancer of brain	
C0153633	cancer of the brain	
C0006868	cannabis abuse	
C0340828	capillary-venous malformation	
C0340830	capillary-venous-lymphatic malformation	
ASM	Carbamazepine	
ASM	Carbamazepine product	
C1857495	cardiocranial syndrome	
C1857495	cardiocranial syndrome pfeiffer type	
comorbidity - Cardiovascular	Cardiovascular Diseases	
C0018920	cavernoma	
C0018920	cavernous hemangioma	
C2363129	CECTS	
C4302597	celiac disease with epilepsy and cerebral calcification syndrome	
C3714787	central nerv system structure	
C3714787	central nervous system structure	
C3714787	central nervous system structure (body structure)	
C3714787	central nervous systems	
C2363129	Centralopathic epilepsy	
C0270822	centrencephalic absence	
C0270822	centrencephalic epilepsy	
C0740279	cerebellar atrophy	
C0007761	cerebellar dyssynergia	
C0007761	cerebellar dyssynergia, myoclonic	
C0007761	cerebellar dyssynergias	
C0007761	cerebellar dyssynergias, myoclonic	
C0236073	Cerebellar infarction	
comorbidity - brain tumour	cerebellar neoplasm	
C2674383	cerebellar stroke	
comorbidity - brain tumour	cerebellar tumour	
C1510428	cerebral abscess	
C0038454	cerebral apoplexy	
C0028790	cerebral arterial occlusion	
C0795687	cerebral arterial thrombosis	
C0917804	cerebral arteriovenous malformations	
C0028790	cerebral artery occlusion	
C0750935	cerebral astrocytoma	
C0235946	cerebral atrophy	
C0917804	cerebral avm	
C2937358	cerebral bleed	
C2937358	cerebral brain hemorrhage	
C2937358	cerebral brain hemorrhages	
C2937358	cerebral brain hemorrhages	
C3698239	cerebral cortex myoclonus	
cerebrovascular	cerebral cortical atrophy	
MRI abnormal	cerebral cortical atrophy	
C0338437	Cerebral cysticercosis	
C0270611	cerebral damage	
C2937358	cerebral haemorrhage	
C4024218	Cerebral hamartoma	
C0750935	Cerebral Hemispheric Astrocytoma	
C2937358	cerebral hemorrhages	
comorbidity - cerebrovascular	cerebral infarct	
comorbidity - cerebrovascular	cerebral infarction	
C0751383	cerebral lipidosis myoclon var	
C0751383	cerebral lipidosis myoclonic variant	
C0007789	cerebral palsy	
C2937358	cerebral parenchym haemorrhage	
C2937358	cerebral parenchymal haemorrhage	
C2937358	cerebral parenchymal hemorrhages	
C2937358	cerebral parenchymal hemorrhages	
C1263852	cerebral sinus thrombosis, embolism and/or inflammation	
C0038454	cerebral stroke	
C0038454	cerebral strokes	
C0079102	cerebral thromboses	
C0079102	cerebral thrombosis	
C0795687	cerebral thrombosis	
C0085315	cerebral Toxoplasmosis	
C0346903	cerebral tumor - malignant	
C0007820	cerebral vascular disease	
C0007820	cerebral vascular disturbance	
C0038454	cerebral vascular events	
C0038454	cerebral vascular incident	
C0007820	cerebral vascular lesion	
C1956261	Cerebral Venous Angioma	
C0007798	cerebral ventricle neoplasm	
C0007798	cerebral ventricle neoplasms	
C0007798	cerebral ventricle tumor	
C0007798	cerebral ventricle tumors	
C0035372	Cerebroatrophic hyperammonaemia	
C0035372	Cerebroatrophic hyperammonemia	
C0022739	cerebrofacial angiomatosis	
C0751383	cerebroretinal degeneration, juvenile	
C0751383	cerebroretinal degenerations, juvenile	
C0038454	cerebrovascular accident	
cerebrovascular comorbidity 	cerebrovascular accident due to cerebral artery occlusion	
C4551380	cerebrovascular accident due to embolus of basilar artery	
C4551359	cerebrovascular accident due to embolus of left vertebral artery	
C4551376	cerebrovascular accident due to embolus of right vertebral artery	
C4273982	cerebrovascular accident due to left carotid artery stenosis	
C4551371	cerebrovascular accident due to nonpyogenic thrombus of cerebral vein	
cerebrovascular comorbidity 	cerebrovascular accident due to occlusion of cerebral artery	
C4520263	cerebrovascular accident due to occlusion of left anterior cerebral artery	
C4543237	cerebrovascular accident due to occlusion of left carotid artery	
C4543230	cerebrovascular accident due to occlusion of left cerebellar artery	
C4543238	cerebrovascular accident due to occlusion of left middle cerebral artery	
C4543232	cerebrovascular accident due to occlusion of left pontine artery	
C4543240	cerebrovascular accident due to occlusion of left posterior cerebral artery	
C4520262	cerebrovascular accident due to occlusion of left posterior communicating artery	
C4543233	cerebrovascular accident due to occlusion of left vertebral artery	
C4520264	cerebrovascular accident due to occlusion of right anterior cerebral artery	
C4273983	cerebrovascular accident due to occlusion of right carotid artery	
C4543234	cerebrovascular accident due to occlusion of right cerebellar artery	
C4543242	cerebrovascular accident due to occlusion of right middle cerebral artery	
C4543235	cerebrovascular accident due to occlusion of right pontine artery	
C4543236	cerebrovascular accident due to occlusion of right posterior cerebral artery	
C4520265	cerebrovascular accident due to occlusion of right posterior communicating artery	
C4543231	cerebrovascular accident due to occlusion of right vertebral artery	
C4273983	cerebrovascular accident due to right carotid artery occlusion	
C4273984	cerebrovascular accident due to right carotid artery stenosis	
C4543231	cerebrovascular accident due to right vertebral artery occlusion	
C4273982	cerebrovascular accident due to stenosis of left carotid artery	
C4543116	cerebrovascular accident due to stenosis of left vertebral artery	
C4273984	cerebrovascular accident due to stenosis of right carotid artery	
C4543115	cerebrovascular accident due to stenosis of right vertebral artery	
C4543199	cerebrovascular accident due to thrombus of basilar artery	
C4543198	cerebrovascular accident due to thrombus of left carotid artery	
C4543202	cerebrovascular accident due to thrombus of left middle cerebral artery	
C4551382	cerebrovascular accident due to thrombus of left vertebral artery	
C4543200	cerebrovascular accident due to thrombus of right carotid artery	
C4520261	cerebrovascular accident due to thrombus of right cerebellar artery	
C4543201	cerebrovascular accident due to thrombus of right middle cerebral artery	
C4520260	cerebrovascular accident due to thrombus of right posterior cerebral artery	
C4520259	cerebrovascular accident due to thrombus of right vertebral artery	
C4274870	cerebrovascular accident during surgery	
C0038454	cerebrovascular apoplexy	
C0007820	cerebrovascular disease	
C0007820	cerebrovascular lesion	
C0038454	cerebrovascular stroke	
C0038454	cerebrovascular strokes	
C0007798	cerebroventricular neoplasm	
C0007798	cerebroventricular neoplasms	
C2937358	cerebrum hemorrhage	
C2937358	cerebrum hemorrhage	
C2937358	cerebrum hemorrhages	
C2937358	cerebrum hemorrhages	
C0007959	Charcot Marie Tooth Disease	
C0007959	Charcot-Marie Tooth Disease	
C0007959	Charcot-Marie-Tooth Disease	
C0010068	CHD	
cancer therapy	chemotherapy	
C0268226	cherry red spot myoclonus syndrome	
C0268226	cherry red spot-myoclonus syndrome	
